#TITLE,KEY,VALUE,SWMH,,,,,,,,,,,x
k_byzantium,k_byzantium,,Greece,,,,,,,,,,,x
k_byzantium,k_byzantium_adj,,Greek,,,,,,,,,,,x
d_thrace,d_thrace,,Thrace,,,,,,,,,,,x
d_thrace,d_thrace_adj,,Thracian,,,,,,,,,,,x
c_kaliopolis,PROV495,,Kaliopolis,,,,,,,,,,,x
c_kaliopolis,c_kaliopolis_adj,,Kaliopolisian,,,,,,,,,,,x
c_kaliopolis,turkish,,Gelibolu,,,,,,,,,,,x
b_gallipoli,b_gallipoli,,Gallipoli,,,,,,,,,,,x
b_gallipoli,greek,,Kallipolis,,,,,,,,,,,x
b_gallipoli,turkish,,Gelibolu,,,,,,,,,,,x
b_heraclea,b_heraclea,,Heraclea,,,,,,,,,,,x
b_madyta,b_madyta,,Madyta,,,,,,,,,,,x
b_rhaidestos,b_rhaidestos,,Rhaidestos,,,,,,,,,,,x
b_panidos,b_panidos,,Panidos,,,,,,,,,,,x
b_selymbria,b_selymbria,,Selymbria,,,,,,,,,,,x
b_lysimachia,b_lysimachia,,Lysimachia,,,,,,,,,,,x
b_sestus,b_sestus,,Sestus,,,,,,,,,,,x
c_byzantion,PROV496,,Constantinople,,,,,,,,,,,x
c_byzantion,c_byzantion_adj,,Constantinopian,,,,,,,,,,,x
b_constantinople,b_constantinople,,Constantinople,,,,,,,,,,,x
b_hagiasophia,b_hagiasophia,,Constantinople,,,,,,,,,,,x
b_hagiasophia,turkish,,Ayasofya,,,,,,,,,,,x
b_galata,b_galata,,Galata,,,,,,,,,,,x
b_blachernae,b_blachernae,,Blachernae,,,,,,,,,,,x
b_blachernae,turkish,,Ayvansaray,,,,,,,,,,,x
b_hieron,b_hieron,,Hieron,,,,,,,,,,,x
b_hieron,turkish,,Kadiköy,,,,,,,,,,,x
b_deuteron,b_deuteron,,Deuteron,,,,,,,,,,,x
b_deuteron,turkish,,Topkapi,,,,,,,,,,,x
b_pempton,b_pempton,,Pempton,,,,,,,,,,,x
b_vlanga,b_vlanga,,Vlanga,,,,,,,,,,,x
c_thrake,PROV497,,Thrake,,,,,,,,,,,x
c_thrake,c_thrake_adj,,Thrakeian,,,,,,,,,,,x
b_verissa,b_verissa,,Verissa,,,,,,,,,,,x
b_sestos,b_sestos,,Sestos,,,,,,,,,,,x
b_chariopolis,b_chariopolis,,Chariopolis,,,,,,,,,,,x
b_syrallum,b_syrallum,,Syrallum,,,,,,,,,,,x
b_salmydessus,b_salmydessus,,Salmydessus,,,,,,,,,,,x
b_deleus,b_deleus,,Deleus,,,,,,,,,,,x
b_aulaeitichus,b_aulaeitichus,,Aulaeitichus,,,,,,,,,,,x
b_phinopolis,b_phinopolis,,Phinopolis,,,,,,,,,,,x
d_adrianopolis,d_adrianopolis,,Adrianopolis,,,,,,,,,,,x
d_adrianopolis,d_adrianopolis_adj,,Adrianopolitan,,,,,,,,,,,x
c_adrianopolis,PROV494,,Adrianopolis,,,,,,,,,,,x
c_adrianopolis,c_adrianopolis_adj,,Adrianopolitan,,,,,,,,,,,x
c_adrianopolis,turkish,,Edirne,,,,,,,,,,,x
b_adrianopolis,b_adrianopolis,,Adrianopolis,,,,,,,,,,,x
b_adrianopolis,turkish,,Edirne,,,,,,,,,,,x
b_didymoteichon,b_didymoteichon,,Didymoteichon,,,,,,,,,,,x
b_traianopolis,b_traianopolis,,Traianopolis,,,,,,,,,,,x
b_skalothe,b_skalothe,,Skalothe,,,,,,,,,,,x
b_berat,b_berat,,Berat,,,,,,,,,,,x
b_kypsela,b_kypsela,,Kypsela,,,,,,,,,,,x
b_demotika,b_demotika,,Demotika,,,,,,,,,,,x
b_ainos,b_ainos,,Ainos,,,,,,,,,,,x
c_philippopolis,PROV493,,Philippopolis,,,,,,,,,,,x
c_philippopolis,c_philippopolis_adj,,Philippopolisian,,,,,,,,,,,x
c_philippopolis,turkish,,Filibe,,,,,,,,,,,x
b_philippopolis,b_philippopolis,,Philippopolis,,,,,,,,,,,x
b_philippopolis,turkish,,Filibe,,,,,,,,,,,x
b_xantheia,b_xantheia,,Xantheia,,,,,,,,,,,x
b_klokoknitsa,b_klokoknitsa,,Klokoknitsa,,,,,,,,,,,x
b_prodromos,b_prodromos,,Prodromos,,,,,,,,,,,x
b_peritheorion,b_peritheorion,,Peritheorion,,,,,,,,,,,x
b_anaktoropolis,b_anaktoropolis,,Anaktoropolis,,,,,,,,,,,x
b_polystylon,b_polystylon,,Polystylon,,,,,,,,,,,x
b_mosynopolis,b_mosynopolis,,Mosynopolis,,,,,,,,,,,x
d_thessalonika,d_thessalonika,,Thessalonika,,,,,,,,,,,x
d_thessalonika,d_thessalonika_adj,,Thessalonian,,,,,,,,,,,x
c_chalkidike,PROV491,,Chalkidike,,,,,,,,,,,x
c_chalkidike,c_chalkidike_adj,,Chalkidikian,,,,,,,,,,,x
b_serres,b_serres,,Serres,,,,,,,,,,,x
b_mntathos,b_mntathos,,Mount Athos,,,,,,,,,,,x
b_philippi,b_philippi,,Philippi,,,,,,,,,,,x
b_chrysiopolis,b_chrysiopolis,,Chrysiopolis,,,,,,,,,,,x
b_siderokastron,b_siderokastron,,Siderokastron,,,,,,,,,,,x
b_zicna,b_zicna,,Zicna,,,,,,,,,,,x
b_melnik,b_melnik,,Melnik,,,,,,,,,,,x
b_drama,b_drama,,Drama,,,,,,,,,,,x
c_thessalonike,PROV490,,Thessalonike,,,,,,,,,,,x
c_thessalonike,c_thessalonike_adj,,Thessalonikian,,,,,,,,,,,x
c_thessalonike,turkish,,Salonika,,,,,,,,,,,x
b_thessaloniki,b_thessaloniki,,Thessaloniki,,,,,,,,,,,x
b_thessaloniki,turkish,,Salonika,,,,,,,,,,,x
b_thesedessa,b_thesedessa,,Edessa,,,,,,,,,,,x
b_voden,b_voden,,Voden,,,,,,,,,,,x
b_hlerin,b_hlerin,,Hlerin,,,,,,,,,,,x
b_cemren,b_cemren,,Cemren,,,,,,,,,,,x
b_veria,b_veria,,Veria,,,,,,,,,,,x
b_elasson,b_elasson,,Elasson,,,,,,,,,,,x
b_servia,b_servia,,Servia,,,,,,,,,,,x
c_thessalia,PROV489,,Thessalia,,,,,,,,,,,x
c_thessalia,c_thessalia_adj,,Thessalian,,,,,,,,,,,x
c_thessalia,turkish,,Tesalya,,,,,,,,,,,x
b_larissa,b_larissa,,Larissa,,,,,,,,,,,x
b_larissa,turkish,,Yenisehir i-Fenari,,,,,,,,,,,x
b_volos,b_volos,,Volos,,,,,,,,,,,x
b_neopetra,b_neopetra,,Neopetra,,,,,,,,,,,x
b_damasis,b_damasis,,Damasis,,,,,,,,,,,x
b_kastri,b_kastri,,Kastri,,,,,,,,,,,x
b_pharsalos,b_pharsalos,,Pharsalos,,,,,,,,,,,x
b_trikkala,b_trikkala,,Trikkala,,,,,,,,,,,x
b_stagi,b_stagi,,Stagi,,,,,,,,,,,x
d_dyrrachion,d_dyrrachion,,Dyrrachion,,,,,,,,,,,x
d_dyrrachion,d_dyrrachion_adj,,Dyrrachian,,,,,,,,,,,x
c_strymon,PROV492,,Strymon,,,,,,,,,,,x
c_strymon,c_strymon_adj,,Strymonian,,,,,,,,,,,x
b_skopje,b_skopje,,Skopje,,,,,,,,,,,x
b_strumica,b_strumica,,Strumica,,,,,,,,,,,x
b_veles,b_veles,,Veles,,,,,,,,,,,x
b_prilep,b_prilep,,Prilep,,,,,,,,,,,x
b_prosek,b_prosek,,Prosek,,,,,,,,,,,x
b_trikves,b_trikves,,Trikves,,,,,,,,,,,x
b_kocane,b_kocane,,Kocane,,,,,,,,,,,x
b_kratovo,b_kratovo,,Kratovo,,,,,,,,,,,x
c_ochrid,PROV471,,Ohrid,,,,,,,,,,,x
c_ochrid,c_ochrid_adj,,Ochridian,,,,,,,,,,,x
c_ochrid,greek,,Lychnidos,,,,,,,,,,,x
b_debar,b_debar,,Debar,,,,,,,,,,,x
b_ohrid,b_ohrid,,Ohrid,,,,,,,,,,,x
b_ohrid,greek,,Lychnidos,,,,,,,,,,,x
b_kastoria,b_kastoria,,Kastoria,,,,,,,,,,,x
b_kicevo,b_kicevo,,Kicevo,,,,,,,,,,,x
b_svetigrad,b_svetigrad,,Svetigrad,,,,,,,,,,,x
